#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                  Branch is bug-fixes                                
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
#     |k| (a.u.)         b1                 b2                 b3                 b4                 b5                 b6                 b7                 b8                 b9                 b10               k_x (rlu)          k_y (rlu)          k_z (rlu)
#
      0.576166093        -46.1296082        -21.3194599       -0.232920751       -0.203721579E-1    -0.160677265E-1      13.0517654         26.2734108         27.4935017         27.6012745         29.0605011        0.914634168E-1     0.914634168E-1     0.914634168E-1
      0.584765553        -46.1301003        -21.3232899       -0.204533309       -0.179204904E-1    -0.139951808E-1      13.0217218         26.4460907         27.5852318         27.6835480         29.0080776        0.853658617E-1     0.853658617E-1     0.853658617E-1
      0.593365014        -46.1305618        -21.3268757       -0.177673846       -0.153528703E-1    -0.124091106E-1      12.9934740         26.6243725         27.6826630         27.7606525         28.9541607        0.792682990E-1     0.792682990E-1     0.792682990E-1
      0.601964474        -46.1309929        -21.3302155       -0.152376056       -0.127469013E-1    -0.112689538E-1      12.9670553         26.8090763         27.7837486         27.8346767         28.8959141        0.731707439E-1     0.731707439E-1     0.731707439E-1
      0.610563993        -46.1313896        -21.3333015       -0.128682822       -0.102069043E-1    -0.104938028E-1      12.9424973         27.0006123         27.8857346         27.9080887         28.8309536        0.670731589E-1     0.670731589E-1     0.670731589E-1
      0.619163454        -46.1317558        -21.3361320       -0.106662139       -0.784759317E-2    -0.996464211E-2      12.9198370         27.1982098         27.9858761         27.9829197         28.7586479        0.609756075E-1     0.609756075E-1     0.609756075E-1
      0.627762914        -46.1320915        -21.3387032       -0.864204168E-1    -0.577138737E-2    -0.953339692E-2      12.8991137         27.3993492         28.0819721         28.0600529         28.6807766        0.548780560E-1     0.548780560E-1     0.548780560E-1
      0.636362374        -46.1323891        -21.3410130       -0.681023970E-1    -0.404642895E-2    -0.904386304E-2      12.8803654         27.5998154         28.1725941         28.1390152         28.6012344        0.487805009E-1     0.487805009E-1     0.487805009E-1
      0.644961834        -46.1326523        -21.3430576       -0.518725105E-1    -0.269299350E-2    -0.836510863E-2      12.8636303         27.7943516         28.2569180         28.2182789         28.5246887        0.426829420E-1     0.426829420E-1     0.426829420E-1
      0.653561354        -46.1328812        -21.3448334       -0.378759503E-1    -0.168453925E-2    -0.742667494E-2      12.8489389         27.9775524         28.3342648         28.2958412         28.4549599        0.365853608E-1     0.365853608E-1     0.365853608E-1
      0.662160814        -46.1330795        -21.3463402       -0.261987299E-1    -0.964283943E-3    -0.624348316E-2      12.8363209         28.1444798         28.4036903         28.3696003         28.3940296        0.304878037E-1     0.304878037E-1     0.304878037E-1
      0.670760274        -46.1332397        -21.3475761       -0.168449562E-1    -0.466988393E-3    -0.491696177E-2      12.8258181         28.2906704         28.4637985         28.4372807         28.3422871        0.243902504E-1     0.243902504E-1     0.243902504E-1
      0.679359734        -46.1333618        -21.3485374       -0.974504836E-2    -0.134361209E-3    -0.361028244E-2      12.8174944         28.4117146         28.5129013         28.4960365         28.2997112        0.182926953E-1     0.182926953E-1     0.182926953E-1
      0.687959254        -46.1334534        -21.3492260       -0.478926208E-2     0.762173295E-4    -0.250800070E-2      12.8114414         28.5030041         28.5493164         28.5422745         28.2670746        0.121951103E-1     0.121951103E-1     0.121951103E-1
      0.696558714        -46.1335068        -21.3496380       -0.186742237E-2     0.192700842E-3    -0.177306938E-2      12.8077564         28.5600624         28.5717144         28.5721130         28.2461586        0.609755516E-2     0.609755516E-2     0.609755516E-2
      0.705158174        -46.1335258        -21.3497772       -0.902737491E-3     0.229787154E-3    -0.151531072E-2      12.8065176         28.5795059         28.5792694         28.5824623         28.2389088         0.00000000         0.00000000         0.00000000     [G]
      0.713820398        -46.1335068        -21.3496380       -0.187610264E-2     0.189073689E-3    -0.177993660E-2      12.8077736         28.5598869         28.5715466         28.5720043         28.2460060        0.531914970E-2      0.00000000        0.531914970E-2
      0.722482622        -46.1334534        -21.3492165       -0.475340849E-2     0.260772485E-4    -0.257018581E-2      12.8115034         28.5036469         28.5480156         28.5423088         28.2634354        0.106382994E-1      0.00000000        0.106382994E-1
      0.731144845        -46.1333618        -21.3485184       -0.940582808E-2    -0.382576982E-3    -0.388012966E-2      12.8176136         28.4178848         28.5076656         28.4978809         28.2806797        0.159574486E-1      0.00000000        0.159574486E-1
      0.739807069        -46.1332359        -21.3475399       -0.156198861E-1    -0.123394339E-2    -0.571082067E-2      12.8260021         28.3123856         28.4491596         28.4446507         28.2835159        0.212765988E-1      0.00000000        0.212765988E-1
      0.748469293        -46.1330719        -21.3462849       -0.231211148E-1    -0.276710396E-2    -0.807869807E-2      12.8366013         28.1973095         28.3713551         28.3883209         28.2576351        0.265957471E-1      0.00000000        0.265957471E-1
      0.757131517        -46.1328735        -21.3447495       -0.316393562E-1    -0.520440098E-2    -0.110151991E-1      12.8494062         28.0812244         28.2739906         28.3330193         28.1920166        0.319148973E-1      0.00000000        0.319148973E-1
      0.765793741        -46.1326408        -21.3429337       -0.409897938E-1    -0.868204981E-2    -0.145490989E-1      12.8644533         27.9698257         28.1583862         28.2805901         28.0812683        0.372340493E-1      0.00000000        0.372340493E-1
      0.774455965        -46.1323700        -21.3408432       -0.511515103E-1    -0.132053308E-1    -0.186793357E-1      12.8818054         27.8654079         28.0278149         28.2305756         27.9267635        0.425531976E-1      0.00000000        0.425531976E-1
      0.783118188        -46.1320648        -21.3384762       -0.622870289E-1    -0.186474528E-1    -0.233506914E-1      12.9015226         27.7671680         27.8873959         28.1806431         27.7364845        0.478723459E-1      0.00000000        0.478723459E-1
      0.791780412        -46.1317291        -21.3358326       -0.746957958E-1    -0.247984920E-1    -0.284560770E-1      12.9236565         27.6720619         27.7433872         28.1272354         27.5234947        0.531914942E-1      0.00000000        0.531914942E-1
      0.800442636        -46.1313553        -21.3329124       -0.887064487E-1    -0.314313471E-1    -0.338690765E-1      12.9482288         27.5762157         27.6021290         28.0663757         27.3032436        0.585106425E-1      0.00000000        0.585106425E-1
      0.809104860        -46.1309509        -21.3297215       -0.104567461       -0.383653417E-1    -0.395017229E-1      12.9752369         27.4765110         27.4688320         27.9944305         27.0901680        0.638297945E-1      0.00000000        0.638297945E-1
      0.817767084        -46.1305084        -21.3262577       -0.122363508       -0.454948545E-1    -0.453475118E-1      13.0046415         27.3718052         27.3467655         27.9088707         26.8947411        0.691489428E-1      0.00000000        0.691489428E-1
      0.826429307        -46.1300392        -21.3225212       -0.142004788       -0.527964309E-1    -0.514936335E-1      13.0363684         27.2634258         27.2369289         27.8087025         26.7219868        0.744680986E-1      0.00000000        0.744680986E-1
      0.835091531        -46.1295357        -21.3185177       -0.163269818       -0.603108257E-1    -0.580887087E-1      13.0703144         27.1546783         27.1383648         27.6945171         26.5720425        0.797872394E-1      0.00000000        0.797872394E-1
      0.843753755        -46.1290016        -21.3142433       -0.185885936       -0.681191757E-1    -0.652908981E-1      13.1063643         27.0496845         27.0489025         27.5680752         26.4421806        0.851063952E-1      0.00000000        0.851063952E-1
      0.852415979        -46.1284370        -21.3097057       -0.209601268       -0.763133019E-1    -0.732204244E-1      13.1443949         26.9520111         26.9660378         27.4317379         26.3291988        0.904255360E-1      0.00000000        0.904255360E-1
      0.861078203        -46.1278458        -21.3049030       -0.234239638       -0.849673823E-1    -0.819399357E-1      13.1843004         26.8635254         26.8876324         27.2880363         26.2308578        0.957446918E-1      0.00000000        0.957446918E-1
      0.869740427        -46.1272202        -21.2998371       -0.259715766       -0.941156223E-1    -0.914545432E-1      13.2260151         26.7837315         26.8123207         27.1396275         26.1459694        0.101063848         0.00000000        0.101063848   
      0.878402650        -46.1265717        -21.2945118       -0.286031604       -0.103746541       -0.101722434         13.2695332         26.7096252         26.7394886         26.9895611         26.0735435        0.106382988         0.00000000        0.106382988   
      0.887064874        -46.1258926        -21.2889309       -0.313259900       -0.113815285       -0.112663426         13.3149261         26.6360989         26.6690464         26.8414764         26.0118141        0.111702144         0.00000000        0.111702144   
      0.895727098        -46.1251831        -21.2830925       -0.341512620       -0.124263749       -0.124163911         13.3623238         26.5569706         26.6010990         26.6994419         25.9578991        0.117021285         0.00000000        0.117021285   
      0.904389322        -46.1244545        -21.2770023       -0.370911032       -0.135046050       -0.136090249         13.4118681         26.4664917         26.5356255         26.5673351         25.9081383        0.122340433         0.00000000        0.122340433   
      0.913051546        -46.1236954        -21.2706642       -0.401551068       -0.146137893       -0.148309603         13.4636402         26.3609676         26.4722748         26.4480152         25.8587875        0.127659589         0.00000000        0.127659589   
      0.921713769        -46.1229172        -21.2640781       -0.433481306       -0.157539919       -0.160713241         13.5176163         26.2398968         26.4102192         26.3427773         25.8065491        0.132978722         0.00000000        0.132978722   
      0.930375993        -46.1221123        -21.2572536       -0.466694832       -0.169275478       -0.173227429         13.5736609         26.1060638         26.3481331         26.2513409         25.7487698        0.138297886         0.00000000        0.138297886   
      0.939038217        -46.1212883        -21.2501888       -0.501137793       -0.181384578       -0.185807303         13.6315718         25.9645824         26.2842979         26.1723747         25.6833878        0.143617049         0.00000000        0.143617049   
      0.947700441        -46.1204414        -21.2428894       -0.536731482       -0.193914756       -0.198424682         13.6911564         25.8212509         26.2168541         26.1041965         25.6088581        0.148936197         0.00000000        0.148936197   
      0.956362665        -46.1195755        -21.2353630       -0.573393464       -0.206902727       -0.211065233         13.7522898         25.6810093         26.1441498         26.0452576         25.5242558        0.154255331         0.00000000        0.154255331   
      0.965024889        -46.1186905        -21.2276096       -0.611047804       -0.220348015       -0.223744363         13.8149490         25.5469990         26.0651054         25.9942417         25.4295521        0.159574479         0.00000000        0.159574479   
      0.973687112        -46.1177864        -21.2196369       -0.649620473       -0.234191760       -0.236531258         13.8791838         25.4203892         25.9794235         25.9498596         25.3260365        0.164893642         0.00000000        0.164893642   
      0.982349336        -46.1168671        -21.2114506       -0.689031959       -0.248313904       -0.249561802         13.9450865         25.3006954         25.8876038         25.9106026         25.2165928        0.170212790         0.00000000        0.170212790   
      0.991011560        -46.1159286        -21.2030563       -0.729191840       -0.262556911       -0.263020068         14.0127430         25.1863117         25.7907715         25.8747120         25.1056538        0.175531924         0.00000000        0.175531924   
      0.999673784        -46.1149826        -21.1944599       -0.770006359       -0.276766121       -0.277088225         14.0822067         25.0750599         25.6904030         25.8403606         24.9985809        0.180851072         0.00000000        0.180851072   
       1.00833595        -46.1140213        -21.1856670       -0.811396480       -0.290833563       -0.291883886         14.1534796         24.9647541         25.5880680         25.8059673         24.9005737        0.186170220         0.00000000        0.186170220   
       1.01699817        -46.1130447        -21.1766853       -0.853317976       -0.304728776       -0.307410568         14.2265062         24.8537426         25.4852562         25.7704163         24.8154106        0.191489384         0.00000000        0.191489384   
       1.02566040        -46.1120605        -21.1675186       -0.895767033       -0.318506926       -0.323538721         14.3011875         24.7413330         25.3832684         25.7331562         24.7445602        0.196808532         0.00000000        0.196808532   
       1.03432262        -46.1110649        -21.1581802       -0.938775063       -0.332300752       -0.340025812         14.3773766         24.6278820         25.2831516         25.6941147         24.6871433        0.202127695         0.00000000        0.202127695   
       1.04298484        -46.1100616        -21.1486721       -0.982386231       -0.346290708       -0.356562823         14.4548864         24.5145054         25.1856747         25.6535683         24.6406898        0.207446828         0.00000000        0.207446828   
       1.05164707        -46.1090508        -21.1390057        -1.02663910       -0.360666990       -0.372839272         14.5334959         24.4025574         25.0913124         25.6119919         24.6023045        0.212765977         0.00000000        0.212765977   
       1.06030929        -46.1080360        -21.1291885        -1.07154667       -0.375577986       -0.388607711         14.6129770         24.2931538         25.0002613         25.5699692         24.5696049        0.218085125         0.00000000        0.218085125   
       1.06897151        -46.1070099        -21.1192284        -1.11708856       -0.391087145       -0.403741121         14.6931295         24.1869411         24.9124641         25.5280991         24.5410042        0.223404288         0.00000000        0.223404288   
       1.07763374        -46.1059837        -21.1091328        -1.16320169       -0.407147586       -0.418263793         14.7738571         24.0841312         24.8276482         25.4869652         24.5154896        0.228723437         0.00000000        0.228723437   
       1.08629596        -46.1049576        -21.0989170        -1.20977855       -0.423611701       -0.432348996         14.8552160         23.9846153         24.7453403         25.4471111         24.4922009        0.234042570         0.00000000        0.234042570   
       1.09495819        -46.1039238        -21.0885849        -1.25667071       -0.440267742       -0.446274966         14.9374123         23.8880901         24.6649151         25.4090405         24.4702396        0.239361718         0.00000000        0.239361718   
       1.10362041        -46.1028938        -21.0781498        -1.30371022       -0.456893802       -0.460349411         15.0207272         23.7940941         24.5856972         25.3731956         24.4487877        0.244680867         0.00000000        0.244680867   
       1.11228263        -46.1018639        -21.0676212        -1.35074556       -0.473306477       -0.474824995         15.1054096         23.7020874         24.5070877         25.3399029         24.4272823        0.250000030         0.00000000        0.250000030   
       1.12094486        -46.1008377        -21.0570126        -1.39767814       -0.489389062       -0.489831030         15.1915388         23.6116066         24.4287319         25.3092995         24.4054966        0.255319178         0.00000000        0.255319178   
