#                                                                     
# $$\                                                                 
# $$ |                                                                
# $$ |     $$\   $$\ $$$$$$\$$$$\   $$$$$$\  $$$$$$$\                 
# $$ |     $$ |  $$ |$$  _$$  _$$\ $$  __$$\ $$  __$$\                
# $$ |     $$ |  $$ |$$ / $$ / $$ |$$$$$$$$ |$$ |  $$ |               
# $$ |     $$ |  $$ |$$ | $$ | $$ |$$   ____|$$ |  $$ |               
# $$$$$$$$\\$$$$$$  |$$ | $$ | $$ |\$$$$$$$\ $$ |  $$ |               
# \________|\______/ \__| \__| \__| \_______|\__|  \__|               
#                                                                     
#                   Fork Lumen 2.1.0                                  
#                  Branch is bug-fixes                                
#        MPI+OpenMP+SLK+SLEPC+HDF5_MPI_IO Build                       
#               http://www.lumen-code.org                             
#
#     |k| (a.u.)         b1                 b2                 b3                 b4                 b5                 b6                 b7                 b8                 b9                 b10               k_x (rlu)          k_y (rlu)          k_z (rlu)
#
      0.369778365        -40.9201317        -19.5937176        -1.20742857       -0.102575183       -0.101551227         9.98344231         17.8235741         20.3867016         20.3897724         26.3608971        0.237804905        0.237804905        0.237804905   
      0.378377885        -40.9210625        -19.6013088        -1.16252995       -0.988553017E-1    -0.969011933E-1      9.94359112         17.9240494         20.4626217         20.4674568         26.2890816        0.231707335        0.231707335        0.231707335   
      0.386977375        -40.9219933        -19.6088486        -1.11748528       -0.951381475E-1    -0.923106000E-1      9.90289402         18.0285740         20.5397110         20.5462494         26.2186203        0.225609779        0.225609779        0.225609779   
      0.395576864        -40.9229088        -19.6163273        -1.07231891       -0.913287550E-1    -0.879203826E-1      9.86143684         18.1372414         20.6180305         20.6259918         26.1486378        0.219512224        0.219512224        0.219512224   
      0.404176354        -40.9238243        -19.6237297        -1.02708006       -0.873592272E-1    -0.838221833E-1      9.81933308         18.2501907         20.6976566         20.7064667         26.0779457        0.213414654        0.213414654        0.213414654   
      0.412775844        -40.9247284        -19.6310482       -0.981833756       -0.832131505E-1    -0.800408050E-1      9.77671051         18.3676147         20.7786789         20.7874527         26.0054226        0.207317099        0.207317099        0.207317099   
      0.421375364        -40.9256248        -19.6382751       -0.936651349       -0.789300129E-1    -0.765395463E-1      9.73370838         18.4896984         20.8611984         20.8687344         25.9304695        0.201219529        0.201219529        0.201219529   
      0.429974854        -40.9265099        -19.6453953       -0.891609907       -0.745881647E-1    -0.732396021E-1      9.69046402         18.6165085         20.9453030         20.9501801         25.8533459        0.195121974        0.195121974        0.195121974   
      0.438574344        -40.9273834        -19.6524010       -0.846794426       -0.702764615E-1    -0.700436011E-1      9.64711666         18.7479267         21.0309944         21.0317574         25.7752438        0.189024404        0.189024404        0.189024404   
      0.447173834        -40.9282417        -19.6592827       -0.802304029       -0.660697445E-1    -0.668586567E-1      9.60378933         18.8836079         21.1181431         21.1135807         25.6980019        0.182926849        0.182926849        0.182926849   
      0.455773354        -40.9290886        -19.6660328       -0.758245170       -0.620144382E-1    -0.636154860E-1      9.56057549         19.0230522         21.2064781         21.1958809         25.6235981        0.176829278        0.176829278        0.176829278   
      0.464372844        -40.9299164        -19.6726418       -0.714721143       -0.581268482E-1    -0.602816269E-1      9.51754379         19.1656914         21.2956734         21.2789326         25.5536346        0.170731723        0.170731723        0.170731723   
      0.472972333        -40.9307289        -19.6791000       -0.671823204       -0.543976761E-1    -0.568625554E-1      9.47474575         19.3109417         21.3854370         21.3629627         25.4890232        0.164634153        0.164634153        0.164634153   
      0.481571823        -40.9315224        -19.6853981       -0.629634619       -0.508032180E-1    -0.533892699E-1      9.43224239         19.4582462         21.4755268         21.4481010         25.4299240        0.158536598        0.158536598        0.158536598   
      0.490171313        -40.9322968        -19.6915302       -0.588235736       -0.473204255E-1    -0.498935319E-1      9.39011765         19.6070385         21.5656490         21.5344620         25.3758564        0.152439058        0.152439058        0.152439058   
      0.498770833        -40.9330482        -19.6974869       -0.547708988       -0.439447761E-1    -0.463856719E-1      9.34847736         19.7567825         21.6552563         21.6223106         25.3257980        0.146341473        0.146341473        0.146341473   
      0.507370293        -40.9337845        -19.7032585       -0.508135796       -0.407027043E-1    -0.428476706E-1      9.30743122         19.9070053         21.7434559         21.7121620         25.2782726        0.140243903        0.140243903        0.140243903   
      0.515969753        -40.9344940        -19.7088413       -0.469584495       -0.376472734E-1    -0.392469056E-1      9.26708317         20.0574474         21.8291149         21.8046913         25.2314854        0.134146363        0.134146363        0.134146363   
      0.524569213        -40.9351768        -19.7142277       -0.432105780       -0.348356962E-1    -0.355644561E-1      9.22753143         20.2081947         21.9112606         21.9003944         25.1836624        0.128048807        0.128048807        0.128048807   
      0.533168733        -40.9358406        -19.7194080       -0.395741135       -0.322941728E-1    -0.318214521E-1      9.18888474         20.3597431         21.9895916         21.9991665         25.1335297        0.121951215        0.121951215        0.121951215   
      0.541768193        -40.9364738        -19.7243786       -0.360536575       -0.299942121E-1    -0.280890595E-1      9.15127945         20.5129318         22.0648537         22.0999908         25.0807400        0.115853667        0.115853667        0.115853667   
      0.550367653        -40.9370804        -19.7291317       -0.326552689       -0.278517604E-1    -0.244781859E-1      9.11488628         20.6687374         22.1388950         22.2009888         25.0260010        0.109756112        0.109756112        0.109756112   
      0.558967113        -40.9376640        -19.7336636       -0.293863505       -0.257516261E-1    -0.211145766E-1      9.07987881         20.8280125         22.2142792         22.2997932         24.9707069        0.103658549        0.103658549        0.103658549   
      0.567566574        -40.9382172        -19.7379646       -0.262546211       -0.235858224E-1    -0.181123894E-1      9.04642010         20.9913445         22.2936172         22.3941631         24.9162521        0.975610018E-1     0.975610018E-1     0.975610018E-1
      0.576166093        -40.9387398        -19.7420330       -0.232667714       -0.212845430E-1    -0.155543406E-1      9.01462936         21.1591301         22.3788223         22.4826145         24.8632183        0.914634168E-1     0.914634168E-1     0.914634168E-1
      0.584765553        -40.9392319        -19.7458630       -0.204279438       -0.188315436E-1    -0.134827988E-1      8.98458672         21.3318195         22.4705410         22.5648594         24.8108273        0.853658617E-1     0.853658617E-1     0.853658617E-1
      0.593365014        -40.9396973        -19.7494488       -0.177419260       -0.162622500E-1    -0.118981618E-1      8.95633984         21.5101070         22.5679684         22.6419373         24.7569466        0.792682990E-1     0.792682990E-1     0.792682990E-1
      0.601964474        -40.9401283        -19.7527866       -0.152120844       -0.136542330E-1    -0.107598910E-1      8.92992210         21.6948166         22.6690464         22.7159328         24.6987324        0.731707439E-1     0.731707439E-1     0.731707439E-1
      0.610563993        -40.9405251        -19.7558727       -0.128427088       -0.111117791E-1    -0.998709071E-2      8.90536690         21.8863602         22.7710323         22.7893219         24.6338120        0.670731589E-1     0.670731589E-1     0.670731589E-1
      0.619163454        -40.9408913        -19.7587032       -0.106406003       -0.874961354E-2    -0.946073420E-2      8.88270664         22.0839596         22.8711700         22.8641281         24.5615463        0.609756075E-1     0.609756075E-1     0.609756075E-1
      0.627762914        -40.9412231        -19.7612762       -0.861639902E-1    -0.667020166E-2    -0.903270580E-2      8.86198425         22.2851009         22.9672642         22.9412422         24.4837208        0.548780560E-1     0.548780560E-1     0.548780560E-1
      0.636362374        -40.9415245        -19.7635860       -0.678457841E-1    -0.494177686E-2    -0.854671653E-2      8.84323788         22.4855728         23.0578880         23.0201836         24.4042301        0.487805009E-1     0.487805009E-1     0.487805009E-1
      0.644961834        -40.9417839        -19.7656288       -0.516157970E-1    -0.358473719E-2    -0.787172560E-2      8.82650375         22.6801090         23.1422119         23.0994301         24.3277397        0.426829420E-1     0.426829420E-1     0.426829420E-1
      0.653561354        -40.9420166        -19.7674065       -0.376192182E-1    -0.257267151E-2    -0.693714945E-2      8.81181240         22.8633118         23.2195625         23.1769772         24.2580624        0.365853608E-1     0.365853608E-1     0.365853608E-1
      0.662160814        -40.9422112        -19.7689133       -0.259420406E-1    -0.184893375E-2    -0.575776258E-2      8.79919434         23.0302391         23.2889900         23.2507248         24.1971893        0.304878037E-1     0.304878037E-1     0.304878037E-1
      0.670760274        -40.9423676        -19.7701473       -0.165883601E-1    -0.134842610E-2    -0.443482911E-2      8.78869247         23.1764297         23.3491020         23.3183918         24.1454964        0.243902504E-1     0.243902504E-1     0.243902504E-1
      0.679359734        -40.9424973        -19.7711105       -0.948856305E-2    -0.101301598E-2    -0.313131534E-2      8.78036976         23.2974739         23.3982067         23.3771381         24.1029682        0.182926953E-1     0.182926953E-1     0.182926953E-1
      0.687959254        -40.9425850        -19.7717972       -0.453288620E-2    -0.800261449E-3    -0.203154376E-2      8.77431774         23.3887577         23.4346256         23.4233704         24.0703659        0.121951103E-1     0.121951103E-1     0.121951103E-1
      0.696558714        -40.9426384        -19.7722111       -0.161112542E-2    -0.682383368E-3    -0.129823573E-2      8.77063179         23.4458179         23.4570255         23.4532089         24.0494728        0.609755516E-2     0.609755516E-2     0.609755516E-2
      0.705158174        -40.9426537        -19.7723484       -0.646469241E-3    -0.644815736E-3    -0.104103982E-2      8.76939297         23.4652615         23.4645824         23.4635525         24.0422306         0.00000000         0.00000000         0.00000000     [G]
      0.713820398        -40.9426346        -19.7722092       -0.161980512E-2    -0.686016283E-3    -0.130509539E-2      8.77064991         23.4456444         23.4568577         23.4530945         24.0493221        0.531914970E-2      0.00000000        0.531914970E-2
      0.722482622        -40.9425850        -19.7717896       -0.449702842E-2    -0.850408920E-3    -0.209370558E-2      8.77437878         23.3894005         23.4333248         23.4234066         24.0667248        0.106382994E-1      0.00000000        0.106382994E-1
      0.731144845        -40.9424934        -19.7710915       -0.914932787E-2    -0.126119296E-2    -0.340113766E-2      8.78048897         23.3036423         23.3929729         23.3789845         24.0839329        0.159574486E-1      0.00000000        0.159574486E-1
      0.739807069        -40.9423676        -19.7701130       -0.153632462E-1    -0.211518654E-2    -0.522870570E-2      8.78887653         23.1981411         23.3344631         23.3257618         24.0867252        0.212765988E-1      0.00000000        0.212765988E-1
      0.748469293        -40.9422035        -19.7688580       -0.228643343E-1    -0.365123199E-2    -0.759311253E-2      8.79947567         23.0830669         23.2566547         23.2694454         24.0607910        0.265957471E-1      0.00000000        0.265957471E-1
      0.757131517        -40.9420052        -19.7673206       -0.313824452E-1    -0.609147549E-2    -0.105260229E-1      8.81228065         22.9669857         23.1592884         23.2141552         23.9951191        0.319148973E-1      0.00000000        0.319148973E-1
