E[1] [eV],Re(eps)_f_FzB_4,Re(eps)_f_FzB_5,Re(eps)_f_FzB_6,Re(eps)_f_FzB_7,Re(eps)_f_FzB_8,Re(eps)_f_FzB_9
0.270000,1.17537000,1.00627300,1.00492000,1.00404500,1.00248400,1.00075200
0.272000,1.17538500,1.00627300,1.00492100,1.00404500,1.00248400,1.00075200
0.274000,1.17540100,1.00627300,1.00492100,1.00404500,1.00248400,1.00075200
0.276000,1.17541600,1.00627300,1.00492100,1.00404500,1.00248400,1.00075200
0.278000,1.17543100,1.00627300,1.00492100,1.00404500,1.00248400,1.00075200
0.280000,1.17544700,1.00627400,1.00492100,1.00404500,1.00248400,1.00075200
0.282000,1.17546200,1.00627400,1.00492100,1.00404500,1.00248500,1.00075200
0.284000,1.17547700,1.00627400,1.00492100,1.00404500,1.00248500,1.00075200
0.286000,1.17549300,1.00627400,1.00492200,1.00404500,1.00248500,1.00075200
0.288000,1.17550800,1.00627400,1.00492200,1.00404600,1.00248500,1.00075200
0.290000,1.17552300,1.00627400,1.00492200,1.00404600,1.00248500,1.00075200
0.292000,1.17553900,1.00627500,1.00492200,1.00404600,1.00248500,1.00075200
0.294000,1.17555400,1.00627500,1.00492200,1.00404600,1.00248500,1.00075200
0.296000,1.17556900,1.00627500,1.00492200,1.00404600,1.00248500,1.00075200
0.298000,1.17558500,1.00627500,1.00492200,1.00404600,1.00248500,1.00075200
0.300000,1.17560000,1.00627500,1.00492300,1.00404600,1.00248500,1.00075200
0.302000,1.17561500,1.00627600,1.00492300,1.00404600,1.00248500,1.00075200
0.304000,1.17563100,1.00627600,1.00492300,1.00404600,1.00248500,1.00075200
0.306000,1.17564600,1.00627600,1.00492300,1.00404700,1.00248500,1.00075200
0.308000,1.17566100,1.00627600,1.00492300,1.00404700,1.00248500,1.00075200
0.310000,1.17567700,1.00627600,1.00492300,1.00404700,1.00248500,1.00075200
0.312000,1.17569200,1.00627600,1.00492300,1.00404700,1.00248600,1.00075200
0.314000,1.17570700,1.00627700,1.00492300,1.00404700,1.00248600,1.00075200
0.316000,1.17572300,1.00627700,1.00492400,1.00404700,1.00248600,1.00075200
0.318000,1.17573800,1.00627700,1.00492400,1.00404700,1.00248600,1.00075200
0.320000,1.17575400,1.00627700,1.00492400,1.00404700,1.00248600,1.00075200
0.322000,1.17576900,1.00627700,1.00492400,1.00404800,1.00248600,1.00075200
0.324000,1.17578400,1.00627700,1.00492400,1.00404800,1.00248600,1.00075200
0.326000,1.17580000,1.00627800,1.00492400,1.00404800,1.00248600,1.00075200
0.328000,1.17581500,1.00627800,1.00492400,1.00404800,1.00248600,1.00075200
0.330000,1.17583000,1.00627800,1.00492500,1.00404800,1.00248600,1.00075200
0.332000,1.17584600,1.00627800,1.00492500,1.00404800,1.00248600,1.00075200
0.334000,1.17586100,1.00627800,1.00492500,1.00404800,1.00248600,1.00075200
0.336000,1.17587700,1.00627900,1.00492500,1.00404800,1.00248600,1.00075200
0.338000,1.17589200,1.00627900,1.00492500,1.00404800,1.00248600,1.00075200
0.340000,1.17590700,1.00627900,1.00492500,1.00404800,1.00248600,1.00075200
0.342000,1.17592300,1.00627900,1.00492500,1.00404800,1.00248600,1.00075200
0.344000,1.17593800,1.00627900,1.00492500,1.00404900,1.00248600,1.00075200
0.346000,1.17595400,1.00627900,1.00492500,1.00404900,1.00248700,1.00075200
0.348000,1.17596900,1.00628000,1.00492600,1.00404900,1.00248700,1.00075200
0.350000,1.17598500,1.00628000,1.00492600,1.00404900,1.00248700,1.00075200
0.352000,1.17600000,1.00628000,1.00492600,1.00404900,1.00248700,1.00075200
0.354000,1.17601500,1.00628000,1.00492600,1.00404900,1.00248700,1.00075200
0.356000,1.17603100,1.00628000,1.00492600,1.00404900,1.00248700,1.00075200
0.358000,1.17604600,1.00628000,1.00492600,1.00404900,1.00248700,1.00075200
0.360000,1.17606200,1.00628100,1.00492600,1.00405000,1.00248700,1.00075200
0.362000,1.17607700,1.00628100,1.00492700,1.00405000,1.00248700,1.00075200
0.364000,1.17609200,1.00628100,1.00492700,1.00405000,1.00248700,1.00075200
0.366000,1.17610800,1.00628100,1.00492700,1.00405000,1.00248700,1.00075300
0.368000,1.17612300,1.00628100,1.00492700,1.00405000,1.00248700,1.00075300
0.370000,1.17613900,1.00628100,1.00492700,1.00405000,1.00248700,1.00075300
0.372000,1.17615400,1.00628200,1.00492700,1.00405000,1.00248700,1.00075300
0.374000,1.17617000,1.00628200,1.00492700,1.00405000,1.00248700,1.00075300
0.376000,1.17618500,1.00628200,1.00492800,1.00405000,1.00248800,1.00075300
0.378000,1.17620100,1.00628200,1.00492800,1.00405000,1.00248800,1.00075300
0.380000,1.17621600,1.00628200,1.00492800,1.00405000,1.00248800,1.00075300
0.382000,1.17623200,1.00628300,1.00492800,1.00405100,1.00248800,1.00075300
0.384000,1.17624700,1.00628300,1.00492800,1.00405100,1.00248800,1.00075300
0.386000,1.17626200,1.00628300,1.00492800,1.00405100,1.00248800,1.00075300
0.388000,1.17627800,1.00628300,1.00492800,1.00405100,1.00248800,1.00075300
0.390000,1.17629300,1.00628300,1.00492800,1.00405100,1.00248800,1.00075300
0.392000,1.17630900,1.00628300,1.00492900,1.00405100,1.00248800,1.00075300
0.394000,1.17632400,1.00628400,1.00492900,1.00405100,1.00248800,1.00075300
0.396000,1.17634000,1.00628400,1.00492900,1.00405100,1.00248800,1.00075300
0.398000,1.17635500,1.00628400,1.00492900,1.00405100,1.00248800,1.00075300
0.400000,1.17637100,1.00628400,1.00492900,1.00405200,1.00248800,1.00075300
0.402000,1.17638600,1.00628400,1.00492900,1.00405200,1.00248800,1.00075300
0.404000,1.17640200,1.00628400,1.00492900,1.00405200,1.00248800,1.00075300
0.406000,1.17641700,1.00628500,1.00493000,1.00405200,1.00248800,1.00075300
0.408000,1.17643300,1.00628500,1.00493000,1.00405200,1.00248800,1.00075300
0.410000,1.17644800,1.00628500,1.00493000,1.00405200,1.00248900,1.00075300
0.412000,1.17646400,1.00628500,1.00493000,1.00405200,1.00248900,1.00075300
0.414000,1.17647900,1.00628500,1.00493000,1.00405200,1.00248900,1.00075300
0.416000,1.17649500,1.00628600,1.00493000,1.00405300,1.00248900,1.00075300
0.418000,1.17651000,1.00628600,1.00493000,1.00405300,1.00248900,1.00075300
0.420000,1.17652600,1.00628600,1.00493000,1.00405300,1.00248900,1.00075300
0.422000,1.17654100,1.00628600,1.00493100,1.00405300,1.00248900,1.00075300
0.424000,1.17655700,1.00628600,1.00493100,1.00405300,1.00248900,1.00075300
0.426000,1.17657200,1.00628600,1.00493100,1.00405300,1.00248900,1.00075300
0.428000,1.17658800,1.00628700,1.00493100,1.00405300,1.00248900,1.00075300
0.430000,1.17660300,1.00628700,1.00493100,1.00405300,1.00248900,1.00075300
0.432000,1.17661900,1.00628700,1.00493100,1.00405300,1.00248900,1.00075300
0.434000,1.17663400,1.00628700,1.00493100,1.00405300,1.00248900,1.00075300
0.436000,1.17665000,1.00628700,1.00493100,1.00405300,1.00248900,1.00075300
0.438000,1.17666600,1.00628700,1.00493200,1.00405400,1.00248900,1.00075300
0.440000,1.17668100,1.00628800,1.00493200,1.00405400,1.00249000,1.00075300
0.442000,1.17669700,1.00628800,1.00493200,1.00405400,1.00249000,1.00075300
0.444000,1.17671200,1.00628800,1.00493200,1.00405400,1.00249000,1.00075300
0.446000,1.17672800,1.00628800,1.00493200,1.00405400,1.00249000,1.00075300
0.448000,1.17674300,1.00628800,1.00493200,1.00405400,1.00249000,1.00075300
0.450000,1.17675900,1.00628900,1.00493200,1.00405400,1.00249000,1.00075300
0.452000,1.17677400,1.00628900,1.00493300,1.00405400,1.00249000,1.00075300
0.454000,1.17679000,1.00628900,1.00493300,1.00405500,1.00249000,1.00075300
0.456000,1.17680500,1.00628900,1.00493300,1.00405500,1.00249000,1.00075300
0.458000,1.17682100,1.00628900,1.00493300,1.00405500,1.00249000,1.00075300
0.460000,1.17683700,1.00628900,1.00493300,1.00405500,1.00249000,1.00075300
0.462000,1.17685200,1.00629000,1.00493300,1.00405500,1.00249000,1.00075300
0.464000,1.17686800,1.00629000,1.00493300,1.00405500,1.00249000,1.00075300
0.466000,1.17688300,1.00629000,1.00493300,1.00405500,1.00249000,1.00075300
0.468000,1.17689900,1.00629000,1.00493400,1.00405500,1.00249000,1.00075300
0.470000,1.17691500,1.00629000,1.00493400,1.00405500,1.00249100,1.00075400
0.472000,1.17693000,1.00629000,1.00493400,1.00405600,1.00249100,1.00075400
0.474000,1.17694600,1.00629100,1.00493400,1.00405600,1.00249100,1.00075400
0.476000,1.17696100,1.00629100,1.00493400,1.00405600,1.00249100,1.00075400
0.478000,1.17697700,1.00629100,1.00493400,1.00405600,1.00249100,1.00075400
0.480000,1.17699300,1.00629100,1.00493400,1.00405600,1.00249100,1.00075400
0.482000,1.17700800,1.00629100,1.00493500,1.00405600,1.00249100,1.00075400
0.484000,1.17702400,1.00629200,1.00493500,1.00405600,1.00249100,1.00075400
0.486000,1.17703900,1.00629200,1.00493500,1.00405600,1.00249100,1.00075400
0.488000,1.17705500,1.00629200,1.00493500,1.00405600,1.00249100,1.00075400
0.490000,1.17707100,1.00629200,1.00493500,1.00405600,1.00249100,1.00075400
0.492000,1.17708600,1.00629200,1.00493500,1.00405700,1.00249100,1.00075400
0.494000,1.17710200,1.00629200,1.00493500,1.00405700,1.00249100,1.00075400
0.496000,1.17711700,1.00629300,1.00493600,1.00405700,1.00249100,1.00075400
0.498000,1.17713300,1.00629300,1.00493600,1.00405700,1.00249100,1.00075400
0.500000,1.17714900,1.00629300,1.00493600,1.00405700,1.00249100,1.00075400
0.502000,1.17716400,1.00629300,1.00493600,1.00405700,1.00249100,1.00075400
0.504000,1.17718000,1.00629300,1.00493600,1.00405700,1.00249200,1.00075400
0.506000,1.17719600,1.00629300,1.00493600,1.00405700,1.00249200,1.00075400
0.508000,1.17721100,1.00629400,1.00493600,1.00405700,1.00249200,1.00075400
