E[1] [eV],Im(eps)_f_FzB_4,Im(eps)_f_FzB_5,Im(eps)_f_FzB_6,Im(eps)_f_FzB_7,Im(eps)_f_FzB_8,Im(eps)_f_FzB_9
0.234000,0.00076266,0.00000874,0.00000659,0.00000531,0.00000316,0.00000090
0.236000,0.00076280,0.00000874,0.00000659,0.00000531,0.00000316,0.00000090
0.238000,0.00076294,0.00000874,0.00000659,0.00000531,0.00000316,0.00000090
0.240000,0.00076308,0.00000874,0.00000659,0.00000531,0.00000316,0.00000090
0.242000,0.00076322,0.00000874,0.00000659,0.00000531,0.00000316,0.00000090
0.244000,0.00076336,0.00000874,0.00000659,0.00000531,0.00000316,0.00000090
0.246000,0.00076350,0.00000874,0.00000659,0.00000531,0.00000316,0.00000090
0.248000,0.00076364,0.00000874,0.00000659,0.00000531,0.00000316,0.00000090
0.250000,0.00076378,0.00000874,0.00000659,0.00000531,0.00000316,0.00000090
0.252000,0.00076392,0.00000874,0.00000659,0.00000531,0.00000316,0.00000090
0.254000,0.00076406,0.00000874,0.00000660,0.00000531,0.00000316,0.00000090
0.256000,0.00076420,0.00000874,0.00000660,0.00000531,0.00000316,0.00000090
0.258000,0.00076434,0.00000874,0.00000660,0.00000531,0.00000316,0.00000090
0.260000,0.00076448,0.00000874,0.00000660,0.00000531,0.00000316,0.00000090
0.262000,0.00076462,0.00000874,0.00000660,0.00000531,0.00000316,0.00000090
0.264000,0.00076476,0.00000875,0.00000660,0.00000531,0.00000316,0.00000090
0.266000,0.00076490,0.00000875,0.00000660,0.00000531,0.00000316,0.00000090
0.268000,0.00076504,0.00000875,0.00000660,0.00000531,0.00000316,0.00000090
0.270000,0.00076518,0.00000875,0.00000660,0.00000531,0.00000316,0.00000090
0.272000,0.00076532,0.00000875,0.00000660,0.00000531,0.00000316,0.00000090
0.274000,0.00076546,0.00000875,0.00000660,0.00000531,0.00000316,0.00000090
0.276000,0.00076560,0.00000875,0.00000660,0.00000531,0.00000316,0.00000090
0.278000,0.00076574,0.00000875,0.00000660,0.00000531,0.00000316,0.00000090
0.280000,0.00076588,0.00000875,0.00000660,0.00000531,0.00000316,0.00000090
0.282000,0.00076603,0.00000875,0.00000660,0.00000531,0.00000316,0.00000090
0.284000,0.00076616,0.00000875,0.00000660,0.00000531,0.00000316,0.00000090
0.286000,0.00076631,0.00000875,0.00000660,0.00000532,0.00000316,0.00000090
0.288000,0.00076645,0.00000875,0.00000660,0.00000532,0.00000316,0.00000090
0.290000,0.00076659,0.00000875,0.00000660,0.00000532,0.00000316,0.00000090
0.292000,0.00076673,0.00000875,0.00000660,0.00000532,0.00000316,0.00000090
0.294000,0.00076687,0.00000875,0.00000660,0.00000532,0.00000316,0.00000090
0.296000,0.00076701,0.00000875,0.00000660,0.00000532,0.00000316,0.00000090
0.298000,0.00076715,0.00000875,0.00000660,0.00000532,0.00000316,0.00000090
0.300000,0.00076729,0.00000875,0.00000660,0.00000532,0.00000316,0.00000090
0.302000,0.00076743,0.00000875,0.00000660,0.00000532,0.00000316,0.00000090
0.304000,0.00076757,0.00000875,0.00000660,0.00000532,0.00000316,0.00000090
0.306000,0.00076771,0.00000876,0.00000660,0.00000532,0.00000316,0.00000090
0.308000,0.00076786,0.00000876,0.00000660,0.00000532,0.00000316,0.00000090
0.310000,0.00076800,0.00000876,0.00000661,0.00000532,0.00000316,0.00000090
0.312000,0.00076814,0.00000876,0.00000661,0.00000532,0.00000316,0.00000090
0.314000,0.00076828,0.00000876,0.00000661,0.00000532,0.00000316,0.00000090
0.316000,0.00076842,0.00000876,0.00000661,0.00000532,0.00000316,0.00000090
0.318000,0.00076856,0.00000876,0.00000661,0.00000532,0.00000316,0.00000090
0.320000,0.00076870,0.00000876,0.00000661,0.00000532,0.00000316,0.00000090
0.322000,0.00076884,0.00000876,0.00000661,0.00000532,0.00000316,0.00000090
0.324000,0.00076899,0.00000876,0.00000661,0.00000532,0.00000316,0.00000090
0.326000,0.00076913,0.00000876,0.00000661,0.00000532,0.00000316,0.00000090
0.328000,0.00076927,0.00000876,0.00000661,0.00000532,0.00000316,0.00000090
0.330000,0.00076941,0.00000876,0.00000661,0.00000532,0.00000316,0.00000090
0.332000,0.00076955,0.00000876,0.00000661,0.00000532,0.00000316,0.00000090
0.334000,0.00076969,0.00000876,0.00000661,0.00000532,0.00000316,0.00000090
0.336000,0.00076983,0.00000876,0.00000661,0.00000532,0.00000316,0.00000090
0.338000,0.00076998,0.00000876,0.00000661,0.00000532,0.00000316,0.00000090
0.340000,0.00077012,0.00000876,0.00000661,0.00000532,0.00000316,0.00000090
0.342000,0.00077026,0.00000876,0.00000661,0.00000532,0.00000316,0.00000090
0.344000,0.00077040,0.00000876,0.00000661,0.00000532,0.00000316,0.00000090
0.346000,0.00077054,0.00000877,0.00000661,0.00000532,0.00000316,0.00000090
0.348000,0.00077069,0.00000877,0.00000661,0.00000532,0.00000316,0.00000090
0.350000,0.00077083,0.00000877,0.00000661,0.00000532,0.00000316,0.00000090
0.352000,0.00077097,0.00000877,0.00000661,0.00000532,0.00000316,0.00000090
0.354000,0.00077111,0.00000877,0.00000661,0.00000532,0.00000316,0.00000090
0.356000,0.00077125,0.00000877,0.00000661,0.00000532,0.00000317,0.00000090
0.358000,0.00077140,0.00000877,0.00000661,0.00000533,0.00000317,0.00000090
0.360000,0.00077154,0.00000877,0.00000661,0.00000533,0.00000317,0.00000090
0.362000,0.00077168,0.00000877,0.00000661,0.00000533,0.00000317,0.00000090
0.364000,0.00077182,0.00000877,0.00000661,0.00000533,0.00000317,0.00000090
0.366000,0.00077196,0.00000877,0.00000661,0.00000533,0.00000317,0.00000090
0.368000,0.00077211,0.00000877,0.00000662,0.00000533,0.00000317,0.00000090
0.370000,0.00077225,0.00000877,0.00000662,0.00000533,0.00000317,0.00000090
0.372000,0.00077239,0.00000877,0.00000662,0.00000533,0.00000317,0.00000090
0.374000,0.00077253,0.00000877,0.00000662,0.00000533,0.00000317,0.00000090
0.376000,0.00077268,0.00000877,0.00000662,0.00000533,0.00000317,0.00000090
0.378000,0.00077282,0.00000877,0.00000662,0.00000533,0.00000317,0.00000090
0.380000,0.00077296,0.00000877,0.00000662,0.00000533,0.00000317,0.00000090
0.382000,0.00077310,0.00000877,0.00000662,0.00000533,0.00000317,0.00000090
0.384000,0.00077324,0.00000877,0.00000662,0.00000533,0.00000317,0.00000090
0.386000,0.00077339,0.00000877,0.00000662,0.00000533,0.00000317,0.00000090
0.388000,0.00077353,0.00000878,0.00000662,0.00000533,0.00000317,0.00000090
