E[1] [eV],Re(eps)_nbnd_10,Re(eps)_nbnd_20,Re(eps)_nbnd_30,Re(eps)_nbnd_40,Re(eps)_nbnd_50,Re(eps)_nbnd_60,Re(eps)_nbnd_70,Re(eps)_nbnd_80
0.200000,1.00639800,1.00947500,1.01068600,1.01107700,1.01130800,1.01144600,1.01153400,1.01157900
0.202000,1.00639800,1.00947600,1.01068600,1.01107700,1.01130800,1.01144600,1.01153400,1.01157900
0.204000,1.00639800,1.00947600,1.01068700,1.01107800,1.01130900,1.01144600,1.01153400,1.01157900
0.206000,1.00639800,1.00947600,1.01068700,1.01107800,1.01130900,1.01144600,1.01153500,1.01158000
0.208000,1.00639900,1.00947600,1.01068700,1.01107800,1.01130900,1.01144700,1.01153500,1.01158000
0.210000,1.00639900,1.00947700,1.01068700,1.01107800,1.01131000,1.01144700,1.01153500,1.01158000
0.212000,1.00639900,1.00947700,1.01068800,1.01107900,1.01131000,1.01144700,1.01153600,1.01158100
0.214000,1.00639900,1.00947700,1.01068800,1.01107900,1.01131000,1.01144800,1.01153600,1.01158100
0.216000,1.00639900,1.00947700,1.01068800,1.01107900,1.01131000,1.01144800,1.01153600,1.01158100
0.218000,1.00640000,1.00947800,1.01068800,1.01108000,1.01131100,1.01144800,1.01153700,1.01158100
0.220000,1.00640000,1.00947800,1.01068900,1.01108000,1.01131100,1.01144900,1.01153700,1.01158200
0.222000,1.00640000,1.00947800,1.01068900,1.01108000,1.01131100,1.01144900,1.01153700,1.01158200
0.224000,1.00640000,1.00947800,1.01068900,1.01108000,1.01131200,1.01144900,1.01153700,1.01158200
0.226000,1.00640000,1.00947900,1.01069000,1.01108100,1.01131200,1.01144900,1.01153800,1.01158300
0.228000,1.00640000,1.00947900,1.01069000,1.01108100,1.01131200,1.01145000,1.01153800,1.01158300
0.230000,1.00640100,1.00947900,1.01069000,1.01108100,1.01131200,1.01145000,1.01153800,1.01158300
0.232000,1.00640100,1.00947900,1.01069000,1.01108200,1.01131300,1.01145000,1.01153900,1.01158300
0.234000,1.00640100,1.00948000,1.01069100,1.01108200,1.01131300,1.01145100,1.01153900,1.01158400
0.236000,1.00640100,1.00948000,1.01069100,1.01108200,1.01131300,1.01145100,1.01153900,1.01158400
0.238000,1.00640100,1.00948000,1.01069100,1.01108200,1.01131400,1.01145100,1.01153900,1.01158400
0.240000,1.00640200,1.00948000,1.01069200,1.01108300,1.01131400,1.01145100,1.01154000,1.01158500
0.242000,1.00640200,1.00948100,1.01069200,1.01108300,1.01131400,1.01145200,1.01154000,1.01158500
0.244000,1.00640200,1.00948100,1.01069200,1.01108300,1.01131400,1.01145200,1.01154000,1.01158500
0.246000,1.00640200,1.00948100,1.01069200,1.01108300,1.01131500,1.01145200,1.01154100,1.01158600
0.248000,1.00640200,1.00948100,1.01069300,1.01108400,1.01131500,1.01145300,1.01154100,1.01158600
0.250000,1.00640200,1.00948200,1.01069300,1.01108400,1.01131500,1.01145300,1.01154100,1.01158600
0.252000,1.00640300,1.00948200,1.01069300,1.01108400,1.01131600,1.01145300,1.01154100,1.01158600
0.254000,1.00640300,1.00948200,1.01069300,1.01108500,1.01131600,1.01145400,1.01154200,1.01158700
0.256000,1.00640300,1.00948200,1.01069400,1.01108500,1.01131600,1.01145400,1.01154200,1.01158700
0.258000,1.00640300,1.00948300,1.01069400,1.01108500,1.01131600,1.01145400,1.01154200,1.01158700
0.260000,1.00640300,1.00948300,1.01069400,1.01108600,1.01131700,1.01145400,1.01154300,1.01158800
0.262000,1.00640400,1.00948300,1.01069500,1.01108600,1.01131700,1.01145500,1.01154300,1.01158800
0.264000,1.00640400,1.00948300,1.01069500,1.01108600,1.01131700,1.01145500,1.01154300,1.01158800
0.266000,1.00640400,1.00948400,1.01069500,1.01108600,1.01131800,1.01145500,1.01154400,1.01158800
0.268000,1.00640400,1.00948400,1.01069500,1.01108700,1.01131800,1.01145600,1.01154400,1.01158900
0.270000,1.00640400,1.00948400,1.01069600,1.01108700,1.01131800,1.01145600,1.01154400,1.01158900
0.272000,1.00640400,1.00948500,1.01069600,1.01108700,1.01131800,1.01145600,1.01154400,1.01158900
0.274000,1.00640500,1.00948500,1.01069600,1.01108800,1.01131900,1.01145600,1.01154500,1.01159000
0.276000,1.00640500,1.00948500,1.01069700,1.01108800,1.01131900,1.01145700,1.01154500,1.01159000
0.278000,1.00640500,1.00948500,1.01069700,1.01108800,1.01131900,1.01145700,1.01154500,1.01159000
0.280000,1.00640500,1.00948500,1.01069700,1.01108800,1.01132000,1.01145700,1.01154600,1.01159000
0.282000,1.00640500,1.00948600,1.01069700,1.01108900,1.01132000,1.01145800,1.01154600,1.01159100
0.284000,1.00640500,1.00948600,1.01069800,1.01108900,1.01132000,1.01145800,1.01154600,1.01159100
0.286000,1.00640600,1.00948600,1.01069800,1.01108900,1.01132000,1.01145800,1.01154600,1.01159100
0.288000,1.00640600,1.00948700,1.01069800,1.01109000,1.01132100,1.01145900,1.01154700,1.01159200
0.290000,1.00640600,1.00948700,1.01069900,1.01109000,1.01132100,1.01145900,1.01154700,1.01159200
0.292000,1.00640600,1.00948700,1.01069900,1.01109000,1.01132100,1.01145900,1.01154700,1.01159200
0.294000,1.00640600,1.00948700,1.01069900,1.01109000,1.01132200,1.01145900,1.01154800,1.01159300
0.296000,1.00640700,1.00948800,1.01069900,1.01109100,1.01132200,1.01146000,1.01154800,1.01159300
0.298000,1.00640700,1.00948800,1.01070000,1.01109100,1.01132200,1.01146000,1.01154800,1.01159300
0.300000,1.00640700,1.00948800,1.01070000,1.01109100,1.01132200,1.01146000,1.01154900,1.01159300
0.302000,1.00640700,1.00948800,1.01070000,1.01109200,1.01132300,1.01146100,1.01154900,1.01159400
0.304000,1.00640700,1.00948900,1.01070000,1.01109200,1.01132300,1.01146100,1.01154900,1.01159400
0.306000,1.00640700,1.00948900,1.01070100,1.01109200,1.01132300,1.01146100,1.01154900,1.01159400
0.308000,1.00640800,1.00948900,1.01070100,1.01109200,1.01132400,1.01146100,1.01155000,1.01159500
0.310000,1.00640800,1.00948900,1.01070100,1.01109300,1.01132400,1.01146200,1.01155000,1.01159500
0.312000,1.00640800,1.00949000,1.01070200,1.01109300,1.01132400,1.01146200,1.01155000,1.01159500
0.314000,1.00640800,1.00949000,1.01070200,1.01109300,1.01132500,1.01146200,1.01155100,1.01159500
0.316000,1.00640800,1.00949000,1.01070200,1.01109400,1.01132500,1.01146300,1.01155100,1.01159600
0.318000,1.00640900,1.00949000,1.01070200,1.01109400,1.01132500,1.01146300,1.01155100,1.01159600
0.320000,1.00640900,1.00949100,1.01070300,1.01109400,1.01132500,1.01146300,1.01155100,1.01159600
