E[1] [eV],Im(eps)_nk_4,Im(eps)_nk_6,Im(eps)_nk_8,Im(eps)_nk_10,Im(eps)_nk_12,Im(eps)_nk_14,Im(eps)_nk_16,Im(eps)_nk_18
10.037590,2.29357100,0.93730400,0.79492900,0.90231900,1.08278600,0.83146800,1.12660100,1.00294600
10.075190,3.29034100,1.18121500,0.95456400,0.83382300,1.27452800,0.82731300,1.10219100,1.05371000
10.112780,4.65890600,1.31672000,1.18913000,0.81316000,1.41563300,0.87542700,1.09236000,1.11786900
10.150380,5.88271500,1.27017500,1.38423800,0.84071100,1.44644500,0.94090600,1.10463600,1.17372700
10.187970,5.85369800,1.13264800,1.36749200,0.93667700,1.41352500,0.99945700,1.11412900,1.19127900
10.225560,4.61664300,0.99119800,1.18581700,1.06819700,1.35992500,1.07362400,1.10873200,1.15484300
10.263160,3.28184000,0.91035800,1.02626100,1.11821000,1.29591300,1.21784200,1.09685300,1.10313200
10.300750,2.32696100,0.91477400,0.96923800,1.04908000,1.22351100,1.41340400,1.12283100,1.09611800
10.338350,1.71563600,1.01065300,1.02520400,0.98109000,1.12927600,1.55115300,1.19864000,1.13245100
10.375940,1.33110800,1.21554100,1.20195500,0.99926300,1.05069400,1.57115200,1.29143100,1.18962200
10.413530,1.08914800,1.56644500,1.49908400,1.12022700,1.05015600,1.51249000,1.39051000,1.27060900
10.451130,0.93988500,2.09429500,1.82695500,1.31655400,1.14346700,1.42450900,1.51108100,1.38278100
10.488720,0.85575700,2.70711300,1.97826000,1.51940200,1.26997200,1.35445600,1.62179600,1.52083600
10.526310,0.82311400,3.11182500,1.86855700,1.70695600,1.32163700,1.32537200,1.64494800,1.62828100
10.563910,0.83811300,3.23240100,1.65773800,1.89666100,1.31406900,1.35539200,1.57461100,1.69011200
10.601500,0.90575800,3.22040900,1.54914700,2.05498600,1.34308300,1.44514500,1.48388100,1.75780600
10.639100,1.04179100,2.92224000,1.62101000,2.14354400,1.43168000,1.54703800,1.44336200,1.79961400
10.676690,1.27767700,2.38924300,1.86475800,2.19874400,1.61650000,1.63076000,1.48662900,1.77127900
10.714280,1.66746600,1.95605700,2.21229900,2.24169400,1.96518600,1.69236900,1.60867500,1.72441200
10.751880,2.28109300,1.75940800,2.53128500,2.24374300,2.43675100,1.79163600,1.76684000,1.71336300
10.789470,3.10887200,1.76888400,2.70331800,2.19173200,2.77453100,2.03095000,1.94736200,1.77127100
10.827070,3.76931000,1.83353700,2.59869900,2.12305500,2.75319600,2.39073100,2.17590600,1.92535100
10.864660,3.61121600,1.72957200,2.17806900,2.08779800,2.49629500,2.69282300,2.43897200,2.15111600
10.902250,2.80678600,1.48138500,1.69013900,2.02490200,2.21635300,2.74537200,2.65875000,2.38169700
10.939850,2.01461100,1.28234100,1.32656700,1.83743600,1.98660800,2.55218000,2.75549200,2.59120700
10.977440,1.46069300,1.18956200,1.10566400,1.62695600,1.84573600,2.34161900,2.76667900,2.74261900
11.015040,1.10611500,1.12709800,0.99261100,1.53646700,1.86691600,2.29476700,2.70132500,2.75444200
11.052630,0.88131700,1.00897900,0.96010600,1.59528600,2.08677800,2.36870400,2.52877700,2.63259400
11.090220,0.73840300,0.87174000,0.99729800,1.76293900,2.47615400,2.41861700,2.33891300,2.45027800
11.127820,0.64935100,0.77601600,1.10879000,2.01564600,2.85282400,2.40571600,2.21116900,2.29671800
11.165410,0.59892500,0.73269800,1.31455500,2.41537100,2.98285800,2.39221800,2.13755800,2.18613800
11.203010,0.58004500,0.73538400,1.64667300,2.91967800,2.83183800,2.33733400,2.05684000,2.12172800
11.240600,0.59148600,0.78114700,2.12343200,3.22543500,2.59009900,2.20696900,1.95858900,2.12485800
11.278190,0.63594700,0.87510900,2.70918500,3.17005800,2.44986900,2.07640200,1.94413300,2.16807200
11.315790,0.71361700,1.03272300,3.36676100,2.98342700,2.37318000,1.98430000,2.07243000,2.23817200
11.353380,0.81031200,1.28393000,4.02049100,2.86264800,2.25308200,1.97908200,2.28493500,2.34918200
11.390980,0.92008900,1.67722100,4.39156600,2.90139900,2.07750000,2.09991800,2.46944600,2.45315600
11.428570,1.08974500,2.26407600,4.23910500,3.00467800,1.96069700,2.33222700,2.55783500,2.45990800
11.466160,1.37077800,2.99600800,3.74174800,2.95408300,1.96441700,2.56155900,2.55926000,2.35929300
11.503760,1.72256600,3.55247500,3.27270200,2.69828000,1.99508000,2.65471900,2.51075300,2.23439700
11.541350,1.90253900,3.59659500,2.99030400,2.31356400,1.95111900,2.54351400,2.43455300,2.15589200
11.578950,1.71406100,3.33982100,2.71341800,1.90336800,1.88639300,2.27801500,2.30187700,2.14672300
11.616540,1.37398100,3.27027700,2.32021700,1.55141900,1.93833100,2.02032700,2.10287900,2.15765200
11.654130,1.11079400,3.57358900,1.98644300,1.30001300,2.12991600,1.89941900,1.90764200,2.08740400
11.691730,0.96389400,3.97279300,1.85455000,1.15885600,2.29570800,1.93054900,1.79322500,1.96331200
11.729320,0.91116300,3.83532300,1.94412700,1.12310700,2.26456400,2.00143200,1.78413600,1.89097300
11.766920,0.93504600,3.11455800,2.18003900,1.18749000,2.05367600,1.99665800,1.85377800,1.87354400
11.804510,1.03385500,2.37569000,2.31174800,1.35472200,1.78512800,1.89568000,1.89662200,1.85977300
11.842100,1.22358100,1.88007300,2.13327400,1.63574700,1.59505100,1.76933600,1.84629500,1.85138100
11.879700,1.54268900,1.61823700,1.80779200,1.99354800,1.53827900,1.70547800,1.78842600,1.87612300
11.917290,2.06079200,1.54519800,1.51973900,2.27580200,1.61339600,1.75867900,1.83463800,1.91802000
11.954890,2.87456900,1.64776600,1.34379900,2.34736500,1.77725400,1.90030600,1.99565600,1.93512400
11.992480,4.00362500,1.94162300,1.29588000,2.17531300,1.95479400,1.97457300,2.13052900,1.92766000
12.030070,5.01531300,2.40558100,1.30702000,1.87324900,2.11477800,1.91414300,2.12658100,1.89727300
12.067670,4.98184600,2.79478000,1.24072700,1.65465000,2.23109700,1.82590400,2.02120900,1.84642900
12.105260,3.93976600,2.69985900,1.08172900,1.56866200,2.26234700,1.77340700,1.90246800,1.79895700
12.142860,2.81841300,2.22802300,0.94078500,1.50874800,2.24591600,1.77071200,1.77282200,1.76426900
12.180450,2.01882600,1.79799500,0.87225400,1.42203700,2.17972700,1.82045600,1.59092300,1.71601500
12.218040,1.51265200,1.56679400,0.88122900,1.39099500,1.99928400,1.92926900,1.43669400,1.63441700
12.255640,1.20586300,1.53588400,0.97158700,1.45321800,1.72192300,2.02581300,1.38453800,1.59067200
