E[1] [eV],Re(eps)_nk_4,Re(eps)_nk_6,Re(eps)_nk_8,Re(eps)_nk_10,Re(eps)_nk_12,Re(eps)_nk_14,Re(eps)_nk_16,Re(eps)_nk_18
7.593984,2.57634100,2.53380300,2.53425500,2.53555400,2.53622900,2.53658200,2.53678800,2.53690800
7.631578,2.58682400,2.54284700,2.54323000,2.54455600,2.54525000,2.54561300,2.54582500,2.54594800
7.669173,2.59766400,2.55214600,2.55245100,2.55380400,2.55451900,2.55489100,2.55511000,2.55523800
7.706767,2.60888200,2.56171300,2.56193000,2.56331200,2.56404600,2.56443000,2.56465700,2.56478700
7.744360,2.62050800,2.57156400,2.57168100,2.57309100,2.57384600,2.57424500,2.57447900,2.57461300
7.781955,2.63257200,2.58171500,2.58172000,2.58315600,2.58393700,2.58434700,2.58459000,2.58472900
7.819549,2.64510800,2.59218500,2.59206100,2.59352500,2.59433000,2.59475800,2.59500700,2.59515200
7.857142,2.65815600,2.60299300,2.60272000,2.60421600,2.60504700,2.60548900,2.60574800,2.60589800
7.894736,2.67176000,2.61416200,2.61372100,2.61524400,2.61610500,2.61656400,2.61683300,2.61699000
7.932330,2.68597300,2.62571800,2.62508300,2.62663400,2.62752500,2.62800300,2.62828300,2.62844600
7.969924,2.70085500,2.63769000,2.63683100,2.63841000,2.63933100,2.63982700,2.64012100,2.64029000
8.007519,2.71647200,2.65010700,2.64898800,2.65059400,2.65155000,2.65206800,2.65237400,2.65255200
8.045113,2.73290800,2.66300900,2.66158900,2.66321700,2.66421000,2.66475200,2.66507100,2.66525800
8.082706,2.75025600,2.67643600,2.67466300,2.67631100,2.67734300,2.67790800,2.67824300,2.67844100
8.120299,2.76862900,2.69043600,2.68825000,2.68991300,2.69098400,2.69158000,2.69193100,2.69213700
8.157894,2.78816400,2.70506700,2.70239100,2.70406300,2.70517800,2.70580200,2.70617200,2.70638900
8.195488,2.80902100,2.72039300,2.71713700,2.71880800,2.71997000,2.72062700,2.72101800,2.72124800
8.233082,2.83140500,2.73649400,2.73254600,2.73420100,2.73541000,2.73610500,2.73652000,2.73676300
8.270677,2.85555600,2.75346200,2.74868300,2.75030400,2.75156400,2.75229800,2.75274100,2.75300200
8.308270,2.88178400,2.77141300,2.76562700,2.76719100,2.76850200,2.76928100,2.76975100,2.77003100
8.345864,2.91046500,2.79048300,2.78347200,2.78494200,2.78630500,2.78713300,2.78763800,2.78794200
8.383458,2.94207700,2.81084300,2.80232600,2.80366000,2.80507500,2.80595900,2.80650200,2.80682900
8.421052,2.97721300,2.83269900,2.82232500,2.82346100,2.82492400,2.82587200,2.82645900,2.82681400
8.458646,3.01660400,2.85630200,2.84362800,2.84448900,2.84599800,2.84701400,2.84765400,2.84804200
8.496240,3.06108000,2.88194000,2.86641600,2.86690300,2.86845500,2.86955300,2.87025500,2.87068700
8.533834,3.11143500,2.90989900,2.89088000,2.89088700,2.89248700,2.89368700,2.89446800,2.89495000
8.571428,3.16788600,2.94030600,2.91716000,2.91661700,2.91829700,2.91963900,2.92052600,2.92107500
8.609021,3.22834800,2.97265000,2.94514200,2.94415700,2.94605200,2.94762900,2.94867500,2.94932500
8.646616,3.28333900,3.00433100,2.97385300,2.97316600,2.97570900,2.97776900,2.97910600,2.97991600
8.684210,3.30269800,3.02685400,2.99985700,3.00206900,3.00654700,3.00975000,3.01170900,3.01283500
8.721804,3.21606400,3.01996200,3.01479000,3.02682700,3.03643900,3.04234800,3.04566400,3.04741200
8.759398,2.95625300,2.96294000,3.01012800,3.04336600,3.06322600,3.07415200,3.07966900,3.08215200
8.796992,2.64189700,2.88830700,2.99984300,3.05918100,3.09130000,3.10726200,3.11369800,3.11520200
8.834586,2.47839400,2.85829900,3.01053800,3.08825000,3.12822100,3.14396400,3.14538100,3.14147500
8.872180,2.46343600,2.87470200,3.04341700,3.13140700,3.17210400,3.17637500,3.16419800,3.15369700
8.909773,2.51299900,2.91274600,3.08855800,3.18318900,3.21234300,3.18831900,3.16539100,3.15555500
8.947368,2.57995500,2.95825000,3.14060500,3.23842500,3.22937700,3.17763700,3.16073600,3.15558300
8.984962,2.64759500,3.00634300,3.19819400,3.28790100,3.20653800,3.16767200,3.15560000,3.16056500
9.022555,2.71144500,3.05600800,3.26142600,3.30894200,3.17291300,3.16071600,3.15484300,3.17359000
9.060150,2.77107000,3.10757100,3.33009600,3.26651500,3.16762100,3.15098700,3.16294100,3.19166000
9.097744,2.82719700,3.16183800,3.40110700,3.17434200,3.16978900,3.14823300,3.18045200,3.20184100
9.135338,2.88079000,3.21984700,3.46203200,3.12378900,3.15545300,3.15399800,3.20604600,3.18526600
9.172933,2.93276700,3.28281900,3.47670500,3.14317600,3.14110400,3.16606000,3.22637000,3.14975300
9.210526,2.98394000,3.35216500,3.37821700,3.18423000,3.14087700,3.19328800,3.21873400,3.13997100
9.248120,3.03502600,3.42952200,3.15863500,3.19450900,3.14627800,3.23099300,3.16654600,3.16981200
9.285713,3.08666700,3.51664000,2.98033400,3.16340500,3.14624100,3.26325500,3.11265900,3.21466500
9.323307,3.13946100,3.61494300,2.94820200,3.13380700,3.15459300,3.27285900,3.10886200,3.24199100
9.360902,3.19398600,3.72401600,3.01140500,3.13255900,3.19534400,3.22213300,3.15137600,3.23975600
9.398496,3.25082600,3.83679400,3.11012700,3.15328500,3.25123400,3.12223600,3.21287200,3.21421900
9.436090,3.31059200,3.92587500,3.21181300,3.16505100,3.29761800,3.05343400,3.26018600,3.18368200
9.473684,3.37395600,3.91149500,3.28698800,3.14761200,3.33717600,3.05533400,3.27992500,3.16119100
9.511277,3.44165800,3.64041600,3.29307100,3.10908400,3.34950500,3.10691700,3.27799600,3.13619300
9.548872,3.51456700,3.07281500,3.21885500,3.10829100,3.28414400,3.18342200,3.24751700,3.11735100
9.586466,3.59369200,2.56506000,3.14098800,3.17149100,3.14787100,3.25523400,3.20353900,3.13581700
9.624060,3.68024100,2.38317500,3.11123900,3.26326300,3.01689000,3.29382200,3.17443200,3.19478100
