E[1] [eV],Im(eps)_nbnd_30,Im(eps)_nbnd_40,Im(eps)_nbnd_50,Im(eps)_nbnd_60,Im(eps)_nbnd_70,Im(eps)_nbnd_80,Im(eps)_nbnd_90,Im(eps)_nbnd_100,Im(eps)_nbnd_110,Im(eps)_nbnd_120,Im(eps)_nbnd_130
12.368420,1.60373400,1.60374700,1.61001700,1.70849600,1.87056500,1.89019900,1.89175800,1.89096200,1.89008800,1.88978800,1.88920800
12.406010,1.31941600,2.05810600,2.03672600,2.11111100,2.19844900,2.20532600,2.20585800,2.20551000,2.20518600,2.20509400,2.20489500
12.443610,1.17295600,2.32042800,2.23580600,2.20146600,2.11790100,2.10482900,2.10380100,2.10415900,2.10468400,2.10490100,2.10528300
12.481200,1.15157000,2.13190200,1.99933500,1.89328300,1.74459400,1.72740300,1.72606300,1.72658900,1.72729200,1.72757000,1.72807000
12.518800,1.25663800,1.74247700,1.60631100,1.52078400,1.41364900,1.40274200,1.40188300,1.40223000,1.40268600,1.40287400,1.40319500
12.556390,1.48244500,1.45655600,1.32373500,1.28773800,1.24127500,1.23781300,1.23751800,1.23764900,1.23781800,1.23790300,1.23801600
12.593980,1.74005700,1.34840500,1.20201000,1.21577500,1.22446000,1.22780900,1.22801900,1.22795500,1.22786200,1.22785800,1.22778400
12.631580,1.83499400,1.41511000,1.22941000,1.29025700,1.34685500,1.35612800,1.35674500,1.35646100,1.35610300,1.35600400,1.35575800
12.669170,1.76169200,1.64304200,1.39901500,1.48794500,1.57060900,1.58267100,1.58339000,1.58281400,1.58218700,1.58196500,1.58160700
12.706770,1.69847800,1.93764100,1.67895900,1.73571400,1.80418100,1.81381400,1.81424600,1.81353700,1.81283700,1.81255200,1.81222500
12.744360,1.69256900,2.04883100,1.92514900,1.90732700,1.92223800,1.92305300,1.92294600,1.92276400,1.92257900,1.92250300,1.92246200
12.781950,1.72581900,1.87499500,1.93608700,1.87411500,1.81476600,1.80481000,1.80412000,1.80460600,1.80507900,1.80527800,1.80558200
12.819550,1.87238400,1.62780900,1.72851600,1.65103000,1.55701400,1.54428500,1.54341900,1.54390200,1.54442900,1.54463500,1.54499100
12.857140,2.16616500,1.42314800,1.47487200,1.39932100,1.32568100,1.31748800,1.31689400,1.31707400,1.31732100,1.31740400,1.31760800
12.894740,2.40285000,1.28681400,1.28559400,1.24265400,1.21630500,1.21503500,1.21487800,1.21473900,1.21465400,1.21460100,1.21460500
12.932330,2.31907300,1.26983500,1.21860900,1.22498400,1.25254100,1.25880200,1.25912000,1.25864200,1.25819800,1.25799900,1.25778500
12.969920,2.03278400,1.40562600,1.29723500,1.35983300,1.44337900,1.45726100,1.45805400,1.45722400,1.45641200,1.45606200,1.45562800
13.007520,1.71097100,1.69083700,1.52910200,1.63996300,1.75704500,1.77375900,1.77474200,1.77383600,1.77292100,1.77254500,1.77204200
13.045110,1.40082900,1.99777200,1.84864600,1.94276800,1.99925600,2.00379500,2.00406800,2.00387500,2.00365300,2.00360400,2.00348900
13.082710,1.17993200,2.03977700,2.00966900,1.97963100,1.90195700,1.88855900,1.88775000,1.88846400,1.88916500,1.88952800,1.88995100
13.120300,1.07823500,1.76191400,1.81989800,1.69412200,1.57011000,1.55376100,1.55277000,1.55359200,1.55442500,1.55483400,1.55533700
13.157890,1.08797300,1.43534400,1.47511900,1.36978100,1.28616900,1.27663400,1.27607100,1.27655800,1.27706000,1.27731200,1.27761800
13.195490,1.21032400,1.24054800,1.21528600,1.17812000,1.15123000,1.14955300,1.14949000,1.14961300,1.14974800,1.14983400,1.14992000
13.233080,1.41211200,1.20048200,1.10293200,1.13359100,1.15070600,1.15439600,1.15466500,1.15453900,1.15442100,1.15439200,1.15432900
13.270670,1.52227600,1.26468500,1.11912500,1.18436900,1.20272500,1.20461700,1.20472700,1.20464100,1.20454900,1.20452900,1.20449800
13.308270,1.37338900,1.30280200,1.19044100,1.20562800,1.17293700,1.16735000,1.16693400,1.16710200,1.16724800,1.16732800,1.16746100
13.345860,1.09785100,1.21458200,1.18319500,1.11485300,1.05480500,1.04735600,1.04681200,1.04702900,1.04721600,1.04731200,1.04747400
13.383460,0.86179900,1.08767700,1.07602900,0.99834400,0.95478300,0.95039100,0.95004600,0.95014700,0.95021300,0.95025700,0.95034000
13.421050,0.69120500,0.99223200,0.97524500,0.92806700,0.90144600,0.89868200,0.89845500,0.89852800,0.89856700,0.89859800,0.89864900
13.458640,0.57574900,0.87844000,0.90961100,0.86981100,0.83952200,0.83518300,0.83489300,0.83509600,0.83527100,0.83536000,0.83547300
13.496240,0.50486100,0.73046700,0.82611500,0.77923200,0.74710200,0.74244600,0.74216500,0.74241200,0.74264000,0.74275100,0.74288400
13.533830,0.46681200,0.60102400,0.72358300,0.68622200,0.66300500,0.65978400,0.65961200,0.65982300,0.66001700,0.66011300,0.66022100
13.571430,0.45375200,0.51376800,0.64088000,0.61537600,0.60322900,0.60178800,0.60174400,0.60190500,0.60204500,0.60211900,0.60219100
13.609020,0.46501100,0.46391100,0.58374800,0.57473500,0.57622700,0.57706100,0.57716200,0.57723300,0.57727800,0.57731300,0.57733000
13.646620,0.50536600,0.44410300,0.55639300,0.57475100,0.59318100,0.59687700,0.59716300,0.59712100,0.59704600,0.59703300,0.59698000
13.684210,0.58432300,0.45092400,0.56906100,0.62430700,0.66450000,0.67191000,0.67244500,0.67227100,0.67205600,0.67198700,0.67185000
13.721800,0.71510900,0.48608800,0.63142400,0.73525000,0.80340800,0.81545000,0.81629400,0.81597200,0.81559100,0.81545900,0.81522100
13.759400,0.90227600,0.55741900,0.75710300,0.91827100,1.01236200,1.02799300,1.02904500,1.02859400,1.02807700,1.02789000,1.02757400
13.796990,1.12498600,0.67981800,0.95736700,1.15169100,1.24418200,1.25816700,1.25898700,1.25849100,1.25796800,1.25776000,1.25746500
13.834590,1.35483100,0.87126300,1.20694800,1.36022300,1.41575900,1.42317400,1.42341800,1.42298400,1.42259300,1.42240900,1.42222800
13.872180,1.49410600,1.13220900,1.42204800,1.47130500,1.46810400,1.46518200,1.46484500,1.46481500,1.46482100,1.46480300,1.46485200
13.909770,1.40375800,1.42131200,1.50450900,1.42205000,1.35169200,1.33866300,1.33792000,1.33841100,1.33888000,1.33907800,1.33937300
13.947370,1.18988500,1.63034300,1.39155600,1.23453500,1.14958500,1.13618700,1.13548400,1.13602300,1.13652500,1.13674200,1.13704700
13.984960,1.03570200,1.59608900,1.17758900,1.04611000,0.97768800,0.96741600,0.96681000,0.96716400,0.96751600,0.96766100,0.96788800
