E[1] [eV],Im(eps)_nbnd_10,Im(eps)_nbnd_20,Im(eps)_nbnd_30,Im(eps)_nbnd_40,Im(eps)_nbnd_50,Im(eps)_nbnd_60,Im(eps)_nbnd_70,Im(eps)_nbnd_80
8.120299,0.03949100,0.03986400,0.03990100,0.03991000,0.03991300,0.03991500,0.03991600,0.03991600
8.157894,0.04107700,0.04145000,0.04148700,0.04149600,0.04149900,0.04150100,0.04150200,0.04150200
8.195488,0.04281800,0.04319300,0.04323000,0.04323800,0.04324200,0.04324300,0.04324400,0.04324400
8.233082,0.04474500,0.04511900,0.04515700,0.04516500,0.04516900,0.04517000,0.04517100,0.04517100
8.270677,0.04689300,0.04726800,0.04730500,0.04731400,0.04731700,0.04731900,0.04732000,0.04732000
8.308270,0.04931100,0.04968700,0.04972400,0.04973300,0.04973700,0.04973800,0.04973900,0.04973900
8.345864,0.05206600,0.05244300,0.05248000,0.05248900,0.05249200,0.05249300,0.05249400,0.05249500
8.383458,0.05524800,0.05562500,0.05566200,0.05567100,0.05567400,0.05567600,0.05567700,0.05567700
8.421052,0.05898600,0.05936400,0.05940200,0.05941000,0.05941400,0.05941500,0.05941600,0.05941600
8.458646,0.06347300,0.06385100,0.06388900,0.06389700,0.06390100,0.06390200,0.06390300,0.06390300
8.496240,0.06899800,0.06937700,0.06941400,0.06942300,0.06942600,0.06942800,0.06942800,0.06942900
8.533834,0.07602100,0.07640100,0.07643900,0.07644700,0.07645100,0.07645200,0.07645300,0.07645300
8.571428,0.08529700,0.08567800,0.08571500,0.08572400,0.08572700,0.08572900,0.08572900,0.08573000
8.609021,0.09807300,0.09845400,0.09849200,0.09850000,0.09850400,0.09850500,0.09850600,0.09850600
8.646616,0.11634100,0.11672200,0.11676000,0.11676900,0.11677200,0.11677300,0.11677400,0.11677500
8.684210,0.14254400,0.14292700,0.14296400,0.14297300,0.14297600,0.14297800,0.14297800,0.14297900
8.721804,0.17610100,0.17648400,0.17652100,0.17653000,0.17653300,0.17653500,0.17653600,0.17653600
8.759398,0.20359200,0.20397600,0.20401300,0.20402200,0.20402500,0.20402700,0.20402700,0.20402800
8.796992,0.20458300,0.20496800,0.20500500,0.20501400,0.20501700,0.20501900,0.20502000,0.20502000
8.834586,0.18742700,0.18781300,0.18785000,0.18785900,0.18786200,0.18786400,0.18786400,0.18786500
8.872180,0.17389400,0.17427900,0.17431700,0.17432600,0.17432900,0.17433100,0.17433100,0.17433200
8.909773,0.17133400,0.17172000,0.17175800,0.17176600,0.17177000,0.17177200,0.17177200,0.17177300
8.947368,0.17960400,0.17999100,0.18002900,0.18003700,0.18004100,0.18004200,0.18004300,0.18004300
8.984962,0.19859000,0.19897900,0.19901600,0.19902500,0.19902800,0.19903000,0.19903000,0.19903100
9.022555,0.23027500,0.23066400,0.23070100,0.23071000,0.23071400,0.23071500,0.23071600,0.23071600
9.060150,0.27964900,0.28003800,0.28007600,0.28008400,0.28008800,0.28008900,0.28009000,0.28009000
9.097744,0.35601200,0.35640200,0.35644000,0.35644900,0.35645200,0.35645400,0.35645400,0.35645500
9.135338,0.47374400,0.47413500,0.47417300,0.47418100,0.47418500,0.47418600,0.47418700,0.47418700
9.172933,0.64430400,0.64469500,0.64473400,0.64474200,0.64474600,0.64474700,0.64474800,0.64474800
9.210526,0.83363100,0.83402300,0.83406000,0.83406900,0.83407300,0.83407400,0.83407500,0.83407600
9.248120,0.91069700,0.91109000,0.91112800,0.91113600,0.91114000,0.91114100,0.91114200,0.91114300
9.285713,0.80812000,0.80851400,0.80855200,0.80856000,0.80856300,0.80856500,0.80856500,0.80856500
9.323307,0.65517500,0.65557000,0.65560800,0.65561600,0.65561900,0.65562100,0.65562200,0.65562200
9.360902,0.55317400,0.55356900,0.55360700,0.55361600,0.55361900,0.55362000,0.55362100,0.55362100
9.398496,0.51780100,0.51819700,0.51823400,0.51824300,0.51824700,0.51824800,0.51824900,0.51824900
9.436090,0.54444200,0.54483800,0.54487600,0.54488500,0.54488800,0.54489000,0.54489100,0.54489100
9.473684,0.62977100,0.63016900,0.63020700,0.63021500,0.63021800,0.63022000,0.63022100,0.63022100
9.511277,0.75015500,0.75055400,0.75059100,0.75060000,0.75060300,0.75060400,0.75060600,0.75060600
9.548872,0.83046000,0.83085900,0.83089600,0.83090500,0.83090800,0.83090900,0.83091000,0.83091100
9.586466,0.82683400,0.82723400,0.82727200,0.82728000,0.82728400,0.82728500,0.82728600,0.82728600
9.624060,0.78201700,0.78241700,0.78245500,0.78246400,0.78246700,0.78246900,0.78247000,0.78247000
9.661654,0.73258000,0.73298200,0.73302000,0.73302900,0.73303200,0.73303400,0.73303500,0.73303500
9.699247,0.72436100,0.72476300,0.72480000,0.72480900,0.72481200,0.72481400,0.72481500,0.72481500
9.736841,0.78800400,0.78840700,0.78844500,0.78845400,0.78845700,0.78845900,0.78845900,0.78846000
9.774436,0.90960700,0.91001100,0.91004900,0.91005700,0.91006100,0.91006200,0.91006300,0.91006400
9.812029,1.03174800,1.03215300,1.03219100,1.03219800,1.03220200,1.03220400,1.03220500,1.03220500
9.849624,1.06963800,1.07004400,1.07008200,1.07009100,1.07009400,1.07009500,1.07009600,1.07009700
9.887218,0.97006100,0.97046600,0.97050500,0.97051300,0.97051600,0.97051800,0.97051800,0.97051900
9.924811,0.82541200,0.82582000,0.82585700,0.82586600,0.82587000,0.82587100,0.82587100,0.82587200
9.962406,0.73532100,0.73572900,0.73576700,0.73577600,0.73578000,0.73578100,0.73578100,0.73578200
9.999999,0.72400700,0.72441600,0.72445400,0.72446400,0.72446700,0.72446800,0.72446800,0.72446900
10.037590,0.79448000,0.79489100,0.79492800,0.79493700,0.79494000,0.79494100,0.79494200,0.79494300
10.075190,0.95412500,0.95453600,0.95457400,0.95458300,0.95458700,0.95458900,0.95458800,0.95458900
10.112780,1.18869600,1.18910700,1.18914600,1.18915400,1.18915700,1.18916000,1.18916000,1.18915900
