E[1] [eV],Re(eps)_nbnd_10,Re(eps)_nbnd_20,Re(eps)_nbnd_30,Re(eps)_nbnd_40,Re(eps)_nbnd_50,Re(eps)_nbnd_60,Re(eps)_nbnd_70,Re(eps)_nbnd_80
8.045113,2.50114500,2.62413400,2.64728600,2.65452000,2.65808500,2.65989800,2.66095800,2.66159100
8.082706,2.51415400,2.63720300,2.66035800,2.66759300,2.67115700,2.67297100,2.67403100,2.67466400
8.120299,2.52767500,2.65078500,2.67394400,2.68118000,2.68474500,2.68655800,2.68761800,2.68825200
8.157894,2.54175000,2.66492200,2.68808700,2.69532200,2.69888700,2.70069900,2.70176100,2.70239400
8.195488,2.55643000,2.67966500,2.70283100,2.71006800,2.71363300,2.71544600,2.71650600,2.71714000
8.233082,2.57177200,2.69506900,2.71824000,2.72547600,2.72904200,2.73085500,2.73191500,2.73254700
8.270677,2.58784200,2.71120200,2.73437600,2.74161400,2.74517900,2.74699200,2.74805300,2.74868500
8.308270,2.60471700,2.72814100,2.75131800,2.75855700,2.76212200,2.76393600,2.76499700,2.76563000
8.345864,2.62249300,2.74598100,2.76916100,2.77640100,2.77996700,2.78177900,2.78284000,2.78347400
8.383458,2.64128000,2.76483200,2.78801500,2.79525500,2.79882200,2.80063600,2.80169500,2.80232900
8.421052,2.66121000,2.78482600,2.80801400,2.81525400,2.81882000,2.82063400,2.82169600,2.82232800
8.458646,2.68244300,2.80612400,2.82931600,2.83655700,2.84012300,2.84193800,2.84299800,2.84363200
8.496240,2.70516100,2.82890600,2.85210200,2.85934300,2.86291100,2.86472500,2.86578500,2.86641800
8.533834,2.72955400,2.85336600,2.87656600,2.88380900,2.88737400,2.88918900,2.89025000,2.89088300
8.571428,2.75576500,2.87964300,2.90284600,2.91008900,2.91365600,2.91547100,2.91653100,2.91716500
8.609021,2.78367700,2.90762100,2.93082800,2.93807100,2.94163900,2.94345300,2.94451400,2.94514700
8.646616,2.81231500,2.93632700,2.95953800,2.96678100,2.97034900,2.97216300,2.97322500,2.97385800
8.684210,2.83824500,2.96232400,2.98553800,2.99278300,2.99635100,2.99816600,2.99922600,2.99986000
8.721804,2.85310400,2.97724900,3.00046800,3.00771500,3.01128100,3.01309600,3.01415600,3.01479000
8.759398,2.84836600,2.97258000,2.99580100,3.00304900,3.00661700,3.00843100,3.00949200,3.01012600
8.796992,2.83800800,2.96229100,2.98551700,2.99276300,2.99633100,2.99814600,2.99920800,2.99984000
8.834586,2.84863500,2.97298600,2.99621500,3.00346400,3.00703200,3.00884700,3.00990800,3.01054100
8.872180,2.88144300,3.00586200,3.02909600,3.03634300,3.03991400,3.04172800,3.04278800,3.04342300
8.909773,2.92650800,3.05099800,3.07423600,3.08148400,3.08505400,3.08686900,3.08792900,3.08856300
8.947368,2.97848300,3.10304100,3.12628300,3.13353300,3.13710300,3.13891800,3.13997800,3.14061200
8.984962,3.03599700,3.16062600,3.18387100,3.19112200,3.19469100,3.19650700,3.19756700,3.19820000
9.022555,3.09915300,3.22385300,3.24710100,3.25435400,3.25792400,3.25973900,3.26079900,3.26143300
9.060150,3.16774900,3.29251900,3.31577100,3.32302500,3.32659400,3.32840900,3.32946900,3.33010400
9.097744,3.23868300,3.36352600,3.38678500,3.39403700,3.39760500,3.39942200,3.40048300,3.40111700
9.135338,3.29953000,3.42444300,3.44770400,3.45495600,3.45852800,3.46034500,3.46140400,3.46203900
9.172933,3.31411600,3.43910100,3.46236800,3.46962000,3.47319200,3.47500700,3.47606800,3.47670200
9.210526,3.21553800,3.34059500,3.36386400,3.37111900,3.37468900,3.37650600,3.37756700,3.37820000
9.248120,2.99586900,3.12100000,3.14427400,3.15152900,3.15510000,3.15691500,3.15797700,3.15861100
9.285713,2.81750200,2.94270800,2.96598600,2.97324100,2.97681200,2.97862800,2.97968900,2.98032300
9.323307,2.78530600,2.91058500,2.93386700,2.94112300,2.94469400,2.94650900,2.94757100,2.94820600
9.360902,2.84843700,2.97379000,2.99707500,3.00433400,3.00790500,3.00972100,3.01078300,3.01141600
9.398496,2.94708200,3.07250900,3.09579800,3.10305600,3.10662900,3.10844500,3.10950600,3.11014000
9.436090,3.04868600,3.17418800,3.19748100,3.20474100,3.20831300,3.21012800,3.21119100,3.21182400
9.473684,3.12377500,3.24935300,3.27265200,3.27991200,3.28348300,3.28530000,3.28636200,3.28699500
9.511277,3.12976700,3.25542100,3.27872300,3.28598400,3.28955500,3.29137300,3.29243500,3.29306800
9.548872,3.05546500,3.18119300,3.20450000,3.21176000,3.21533200,3.21715000,3.21821200,3.21884600
9.586466,2.97752000,3.10332500,3.12663700,3.13389800,3.13747200,3.13928800,3.14035000,3.14098400
9.624060,2.94769500,3.07357700,3.09689300,3.10415600,3.10772800,3.10954500,3.11060600,3.11124000
9.661654,2.97505700,3.10101800,3.12433800,3.13160100,3.13517500,3.13699200,3.13805400,3.13868700
9.699247,3.05293700,3.17897500,3.20229800,3.20956300,3.21313600,3.21495400,3.21601500,3.21664900
9.736841,3.13448000,3.26059700,3.28392500,3.29119000,3.29476300,3.29658100,3.29764300,3.29827700
9.774436,3.16026400,3.28645800,3.30979200,3.31705600,3.32063200,3.32244800,3.32351000,3.32414500
9.812029,3.09345800,3.21973200,3.24306900,3.25033400,3.25391000,3.25572600,3.25678800,3.25742300
9.849624,2.94722100,3.07357600,3.09691700,3.10418400,3.10775900,3.10957500,3.11063700,3.11127200
9.887218,2.83181000,2.95824400,2.98158900,2.98885700,2.99243200,2.99424900,2.99531100,2.99594500
9.924811,2.84628400,2.97279900,2.99614700,3.00341700,3.00699200,3.00880900,3.00987100,3.01050500
9.962406,2.95730600,3.08390100,3.10725500,3.11452600,3.11810200,3.11991800,3.12098000,3.12161400
